Date,sp_Open,sp_High,sp_Low,sp_Close,nd_Open,nd_High,nd_Low,nd_Close,dj_Open,dj_High,dj_Low,dj_Close,ph_Open,ph_High,ph_Low,ph_Close,label
2012-10-03,1446.05,1454.30,1441.99,1450.99,3130.85,3142.36,3115.04,3135.23,13479.21,13536.27,13439.12,13494.61,383.76,383.97,380.16,381.17,0
2012-10-04,1451.08,1463.14,1451.08,1461.40,3142.38,3153.48,3132.56,3149.46,13495.18,13594.33,13495.18,13575.36,382.37,384.21,379.47,383.65,0
2012-10-05,1461.40,1470.96,1456.89,1460.93,3161.21,3171.46,3130.76,3136.19,13569.18,13661.87,13568.75,13610.15,385.24,389.39,382.56,383.28,0
2012-10-08,1460.93,1460.93,1453.10,1455.88,3121.33,3125.49,3107.57,3112.35,13589.26,13610.38,13552.09,13583.65,380.94,381.51,377.86,379.13,0
2012-10-10,1441.48,1442.52,1430.64,1432.56,3066.25,3071.57,3046.78,3051.78,13473.53,13478.83,13327.62,13344.97,372.49,372.49,367.51,368.03,1
2012-10-11,1432.82,1443.90,1432.82,1432.84,3075.89,3078.08,3047.14,3049.41,13346.28,13428.49,13326.12,13326.39,370.54,372.41,368.66,368.66,0
2012-10-12,1432.84,1438.43,1425.53,1428.59,3049.08,3061.77,3039.58,3044.11,13325.62,13401.32,13296.43,13328.85,368.37,370.17,366.35,366.71,0
2012-10-15,1428.75,1441.31,1427.24,1440.13,3053.21,3066.31,3037.27,3064.18,13329.54,13437.66,13325.93,13424.23,369.19,372.72,368.34,372.14,0
2012-10-16,1440.31,1455.51,1440.31,1454.92,3073.21,3102.97,3070.25,3101.17,13423.84,13556.37,13423.76,13551.78,373.62,380.56,373.37,380.26,0
2012-10-17,1454.22,1462.20,1453.35,1460.91,3091.38,3112.45,3088.05,3104.12,13539.63,13561.65,13468.90,13557.00,376.88,381.77,376.26,379.41,0
2012-10-18,1460.94,1464.02,1452.63,1457.34,3097.77,3102.56,3065.24,3072.87,13553.24,13588.73,13510.93,13548.94,377.11,379.30,374.13,376.28,0
2012-10-19,1457.34,1457.34,1429.85,1433.19,3066.56,3066.56,3000.27,3005.62,13545.33,13545.49,13312.22,13343.51,375.56,375.56,364.79,364.92,0
2012-10-22,1433.21,1435.46,1422.06,1433.82,3005.92,3020.61,2995.78,3016.96,13344.28,13368.55,13235.15,13345.89,365.25,368.23,363.29,365.51,0
2012-10-23,1433.74,1433.74,1407.56,1413.11,2989.44,3006.59,2974.07,2990.46,13344.90,13344.90,13083.28,13102.53,361.45,367.08,359.92,366.05,0
2012-10-24,1413.20,1420.04,1407.10,1408.75,3011.82,3012.95,2978.73,2981.70,13103.53,13155.21,13063.63,13077.34,368.15,369.17,360.23,360.52,0
2012-10-25,1409.74,1421.12,1405.14,1412.97,3005.04,3007.71,2975.98,2986.12,13079.64,13214.11,13017.37,13103.68,363.58,365.95,361.69,365.48,1
2012-10-26,1412.97,1417.09,1403.28,1411.94,2986.05,2999.14,2961.16,2987.95,13104.22,13151.72,13040.17,13107.21,365.30,369.72,364.36,367.28,1
2012-10-31,1410.99,1418.76,1405.95,1412.16,2986.85,2989.70,2964.94,2977.23,13107.44,13189.08,13052.07,13096.46,368.48,370.28,365.66,367.03,1
2012-11-01,1412.20,1428.35,1412.20,1427.59,2987.54,3021.94,2984.22,3020.06,13099.19,13273.71,13099.11,13232.62,367.36,380.00,367.36,379.50,1
2012-11-02,1427.59,1434.27,1412.91,1414.20,3033.85,3033.85,2981.69,2982.13,13232.62,13289.45,13076.57,13093.16,380.10,380.21,372.20,372.31,1
2012-11-05,1414.02,1419.90,1408.13,1417.26,2983.03,3004.87,2975.85,2999.66,13092.28,13140.58,13038.71,13112.44,371.83,379.38,371.03,378.38,0
2012-11-06,1417.26,1433.38,1417.26,1428.39,3003.71,3024.44,2998.93,3011.93,13112.90,13290.75,13112.90,13245.68,379.34,384.66,378.44,383.62,0
