,Date,sp_Open,sp_High,sp_Low,sp_Close,nd_Open,nd_High,nd_Low,nd_Close,dj_Open,dj_High,dj_Low,dj_Close,ph_Open,ph_High,ph_Low,ph_Close,sp_trend,nd_trend,dj_trend,ph_trend
63,2021-04-06,4075.57,4708.8,4672.78,4073.94,3283.46,13776.71,13674.28,3266.1,33500.02,33544.79,33380.43,33430.24,3283.46,3304.48,3236.86,3266.1,1,0,1,0
64,2021-04-07,4074.29,4701.5,4684.41,4079.95,3259.26,13733.03,13653.59,3266.46,33444.98,33521.76,33347.96,33446.26,3259.26,3281.4,3241.06,3266.46,1,0,1,0
65,2021-04-08,4089.95,4714.95,4679.42,4097.17,3301.42,13830.14,13758.71,3301.26,33469.89,33506.8,33342.64,33503.57,3301.42,3304.54,3274.04,3301.26,1,0,1,0
66,2021-04-09,4096.11,4697.42,4672.86,4128.8,3272.39,13905.41,13748.35,3294.53,33526.19,33810.87,33526.19,33800.6,3272.39,3295.76,3262.93,3294.53,1,0,1,0
67,2021-04-12,4124.71,4688.47,4650.77,4127.99,3273.6,13877.0,13783.95,3258.33,33775.06,33786.19,33665.54,33745.4,3273.6,3274.61,3231.13,3258.33,1,0,1,0
68,2021-04-13,4130.1,4664.55,4648.31,4141.59,3275.52,14011.51,13902.45,3252.7,33721.16,33741.64,33545.84,33677.27,3275.52,3284.85,3223.46,3252.7,0,0,1,0
69,2021-04-14,4141.58,4684.85,4630.86,4124.66,3244.56,14033.63,13839.04,3213.88,33668.95,33911.25,33668.95,33730.89,3244.56,3268.87,3200.46,3213.88,1,0,1,0
70,2021-04-15,4139.76,4708.53,4670.87,4170.42,3250.31,14049.13,13970.42,3271.33,33788.53,34068.73,33788.53,34035.99,3250.31,3276.56,3226.1,3271.33,0,0,0,0
71,2021-04-16,4174.14,4714.92,4694.39,4185.47,3274.15,14062.5,13977.05,3253.08,34058.16,34256.75,34058.16,34200.67,3274.15,3275.59,3248.46,3253.08,0,0,0,0
72,2021-04-19,4179.8,4718.5,4681.32,4163.26,3228.01,14041.79,13842.57,3171.0,34182.38,34182.38,33980.56,34077.63,3228.01,3240.95,3141.2,3171.0,1,1,0,1
